Title,Price,Link
"Համակարգչի, հեռուստացույցի հենակ, մետաղական, Monitor stand, подставка для монитора, տեղափոխումը մեր կողմից",5000 ֏,https://www.list.am/item/22338546?ld_src=2
Վաճառում եմ հեռուստացույց ЛОС,8000 ֏,https://www.list.am/item/22463920?ld_src=2
"8K 60Hz (fiber optic) 5m HDMI cable 2.1 (4K 144Hz) for PS5 / PS4 Real 3D games, for 8K 4K monitor",10000 ֏,https://www.list.am/item/23051060?ld_src=2
"8K 48Gbps 4.5m HDMI cable 2.1 (4K 144Hz) for PS5 / PS4 Real 3D games, for 8K 4K monitor",10000 ֏,https://www.list.am/item/23051064?ld_src=2
TYPE-C to TYPE-C 3.2 cable 20Gbps / 8K @60Hz ULTRA HD video / 100W PD Fast charging 80cm,4000 ֏,https://www.list.am/item/23299156?ld_src=2
"Մոնիրոր 19"" монитор, monitor 19 inch",7000 ֏,https://www.list.am/item/22493221?ld_src=2
Блок питания для монитора 12V 36W 3A 6.5 * 4.4 LG monitor power adapter նոր,6000 ֏,https://www.list.am/item/21387042?ld_src=2
Блок питания 12V 60W 5A 5.5 * 2.5 power adapter նոր,7000 ֏,https://www.list.am/item/21387789?ld_src=2
Блок питания 12V 36W 3A 5.5 * 2.5 power adapter նոր,5000 ֏,https://www.list.am/item/21387807?ld_src=2
Блок питания 12V 72W 6A 5.5 * 2.5 power adapter նոր,8000 ֏,https://www.list.am/item/21387776?ld_src=2
DP 2.1 Cable With Braid 16K30Hz/10K60Hz/8K60 Hz/4K * 4K120Hz/4K240Hz 40Gbps 2m DisplayPort 4k 240Hz,10000 ֏,https://www.list.am/item/21580286?ld_src=2
IG 24MP58va-p մանիտոր,10000 ֏,https://www.list.am/item/21572694?ld_src=2
Արյան Ճնշումը և զարկերակային արագությունը չափող թվային ապարատ,8000 ֏,https://www.list.am/item/22039271?ld_src=2
Power Supply LG for monitor 19V 2.1A Connector Size: 6.5 * 4.4,7000 ֏,https://www.list.am/item/23473010?ld_src=2
Lg մոնիտոր flatron w1943ss-pf,10000 ֏,https://www.list.am/item/22362041?ld_src=2
"Մոնիտոր 5"" դույմ",5000 ֏,https://www.list.am/item/20654456?ld_src=2
